,value,min,max,dsc,sym,dev,timestamp
2,25.651864836313585,0,100,Hygrometer,%,BME680,1614595744.4661474
3,341.009,300000,1100000,VOC,KOhm,BME680,1614595744.4661474
0,28.5446484375,-40,85,Thermometer,°c,BME680,1614595805.3499248
1,990.5157233396416,300,1100,Barometer,hPa,BME680,1614595805.3499248
2,25.6706269995979,0,100,Hygrometer,%,BME680,1614595805.3499248
3,340.009,300000,1100000,VOC,KOhm,BME680,1614595805.3499248
0,28.56359375,-40,85,Thermometer,°c,BME680,1614595866.284909
1,990.5419771448823,300,1100,Barometer,hPa,BME680,1614595866.284909
2,25.69405502077458,0,100,Hygrometer,%,BME680,1614595866.284909
3,339.015,300000,1100000,VOC,KOhm,BME680,1614595866.284909
0,28.5891796875,-40,85,Thermometer,°c,BME680,1614595927.2237825
1,990.5257597421354,300,1100,Barometer,hPa,BME680,1614595927.2237825
2,25.65754018479005,0,100,Hygrometer,%,BME680,1614595927.2237825
3,339.345,300000,1100000,VOC,KOhm,BME680,1614595927.2237825
0,28.61515625,-40,85,Thermometer,°c,BME680,1614595988.140219
1,990.5172070678807,300,1100,Barometer,hPa,BME680,1614595988.140219
2,25.654027232732112,0,100,Hygrometer,%,BME680,1614595988.140219
3,338.355,300000,1100000,VOC,KOhm,BME680,1614595988.140219
0,28.63859375,-40,85,Thermometer,°c,BME680,1614596049.0779579
1,990.5170065645015,300,1100,Barometer,hPa,BME680,1614596049.0779579
2,25.644825580701273,0,100,Hygrometer,%,BME680,1614596049.0779579
3,339.015,300000,1100000,VOC,KOhm,BME680,1614596049.0779579
0,28.6649609375,-40,85,Thermometer,°c,BME680,1614596110.013505
1,990.5231721114499,300,1100,Barometer,hPa,BME680,1614596110.013505
2,25.64134225491517,0,100,Hygrometer,%,BME680,1614596110.013505
3,340.342,300000,1100000,VOC,KOhm,BME680,1614596110.013505
0,28.6977734375,-40,85,Thermometer,°c,BME680,1614596171.0603077
1,990.505949725758,300,1100,Barometer,hPa,BME680,1614596171.0603077
2,25.610877388477796,0,100,Hygrometer,%,BME680,1614596171.0603077
3,340.009,300000,1100000,VOC,KOhm,BME680,1614596171.0603077
0,28.746015625,-40,85,Thermometer,°c,BME680,1614596231.9791765
1,990.49532815178,300,1100,Barometer,hPa,BME680,1614596231.9791765
2,25.56511191034007,0,100,Hygrometer,%,BME680,1614596231.9791765
3,339.345,300000,1100000,VOC,KOhm,BME680,1614596231.9791765
0,28.8106640625,-40,85,Thermometer,°c,BME680,1614596292.896929
1,990.4963613190405,300,1100,Barometer,hPa,BME680,1614596292.896929
2,25.38337977266525,0,100,Hygrometer,%,BME680,1614596292.896929
3,338.684,300000,1100000,VOC,KOhm,BME680,1614596292.896929
0,28.8380078125,-40,85,Thermometer,°c,BME680,1614596353.856627
1,990.4916916454044,300,1100,Barometer,hPa,BME680,1614596353.856627
2,25.33059668302565,0,100,Hygrometer,%,BME680,1614596353.856627
3,338.684,300000,1100000,VOC,KOhm,BME680,1614596353.856627
0,28.838984375,-40,85,Thermometer,°c,BME680,1614596414.7991579
1,990.4808756791753,300,1100,Barometer,hPa,BME680,1614596414.7991579
2,25.41844719287949,0,100,Hygrometer,%,BME680,1614596414.7991579
3,337.043,300000,1100000,VOC,KOhm,BME680,1614596414.7991579
0,28.8278515625,-40,85,Thermometer,°c,BME680,1614596475.7194874
1,990.4774972306307,300,1100,Barometer,hPa,BME680,1614596475.7194874
2,25.434067210521263,0,100,Hygrometer,%,BME680,1614596475.7194874
3,338.355,300000,1100000,VOC,KOhm,BME680,1614596475.7194874
0,28.813984375,-40,85,Thermometer,°c,BME680,1614596536.728047
1,990.4874645489652,300,1100,Barometer,hPa,BME680,1614596536.728047
2,25.449480893436647,0,100,Hygrometer,%,BME680,1614596536.728047
3,338.026,300000,1100000,VOC,KOhm,BME680,1614596536.728047
0,28.8040234375,-40,85,Thermometer,°c,BME680,1614596597.6665118
1,990.4912191133427,300,1100,Barometer,hPa,BME680,1614596597.6665118
